Business Name,Address,Phone Number,Email,Latitude,Longitude,Zip Code
Silicon Valley Food Bank,"700 Empey Way, San Jose, CA 95128",(408) 266-8866,info@svfoodbank.org,37.333776,-121.919823,95128
Second Harvest of Silicon Valley,"4001 North 1st St, San Jose, CA 95134",(408) 266-8866,info@shfb.org,37.406352,-121.932647,95134
Martha's Kitchen,"311 Willow St, San Jose, CA 95110",(408) 293-6111,info@marthaskitchen.org,37.331303,-121.902264,95110
Loaves & Fishes Family Kitchen,"2150 Alum Rock Ave, San Jose, CA 95116",(408) 922-9285,info@loavesfishes.org,37.366046,-121.844542,95116
Sunnyvale Community Services,"725 Kifer Rd, Sunnyvale, CA 94086",(408) 738-4321,info@sunnyvaleservices.org,37.375824,-122.022084,94086
West Valley Community Services,"10104 Vista Dr, Cupertino, CA 95014",(408) 255-8033,info@wvcommunityservices.org,37.319204,-122.045711,95014
Sacred Heart Community Service,"1381 S 1st St, San Jose, CA 95110",(408) 278-2160,info@sacredheartcs.org,37.309425,-121.870468,95110
St. Vincent de Paul Society,"3850 The Woods Dr, San Jose, CA 95136",(408) 262-3968,info@svdp.org,37.264585,-121.898959,95136
The Salvation Army,"359 N 4th St, San Jose, CA 95112",(408) 282-1165,info@salvationarmy.org,37.343614,-121.890705,95112
InnVision Shelter Network,"181 Constitution Dr, Menlo Park, CA 94025",(650) 685-5880,info@innvision.org,37.478426,-122.164548,94025
LifeMoves,"181 Constitution Dr, Menlo Park, CA 94025",(650) 685-5880,info@lifemoves.org,37.478426,-122.164548,94025
Community Services Agency of Mountain View and Los Altos,"204 Stierlin Rd, Mountain View, CA 94043",(650) 968-0836,info@csacares.org,37.408964,-122.108274,94043
Community Services Agency of Cupertino,"20450 Saratoga-Los Gatos Rd, Saratoga, CA 95070",(408) 255-8033,info@csacares.org,37.269022,-122.032937,95070
Community Services Agency of Sunnyvale,"20450 Saratoga-Los Gatos Rd, Saratoga, CA 95070",(408) 738-4321,info@csacares.org,37.269022,-122.032937,95070
Ecumenical Hunger Program,"2411 Pulgas Ave, East Palo Alto, CA 94303",(650) 323-7781,info@ehpcares.org,37.464442,-122.132459,94303
HomeFirst Services,"507 Valley Way, Milpitas, CA 95035",(408) 539-2100,info@homefirstscc.org,37.418069,-121.903006,95035
CityTeam,"1297 N 13th St, San Jose, CA 95112",(408) 232-5600,info@cityteam.org,37.353935,-121.894331,95112
Asian Americans for Community Involvement,"2400 Moorpark Ave, Suite 300, San Jose, CA 95128",(408) 975-2730,info@aaci.org,37.323015,-121.933769,95128
Hunger at Home,"1100 Shasta Ave, San Jose, CA 95126",(408) 586-9405,info@hungerathome.org,37.330161,-121.916044,95126
Abode Services,"40849 Fremont Blvd, Fremont, CA 94538",(510) 657-7409,info@abodeservices.org,37.516458,-121.993643,94538
Milpitas Food Pantry,"1440 S Main St, Milpitas, CA 95035",(408) 946-5564,info@milpitasfoodpantry.org,37.434392,-121.906889,95035
Palo Alto Community Fund,"400 Hamilton Ave, Palo Alto, CA 94301",(650) 327-3094,info@pacf.org,37.322437,-122.020758,94301
Compassion Network,"607 N King Rd, San Jose, CA 95133",(408) 259-5008,info@compassionnetwork.org,37.372824,-121.860418,95133
St. Joseph's Family Center,"7950 Church St, Gilroy, CA 95020",(408) 842-6662,info@stjosephsgilroy.org,37.002931,-121.566421,95020
Catholic Charities,"2625 Zanker Rd, San Jose, CA 95134",(408) 468-0100,info@catholiccharitiesscc.org,37.392524,-121.912846,95134
Loaves & Fishes Family Kitchen,"39770 Mission Blvd, Fremont, CA 94539",(510) 792-6070,info@loavesfishes.org,37.544126,-121.960532,94539
Downtown Streets Team,"660 S 3rd St, San Jose, CA 95112",(408) 271-1630,info@streetsteam.org,37.330002,-121.880103,95112
Sacred Heart Community Service,"1381 S 1st St, San Jose, CA 95110",(408) 278-2160,info@sacredheartcs.org,37.309425,-121.870468,95110
St. Vincent de Paul Society,"3850 The Woods Dr, San Jose, CA 95136",(408) 262-3968,info@svdp.org,37.264585,-121.898959,95136
Salvation Army,"359 N 4th St, San Jose, CA 95112",(408) 282-1165,info@salvationarmy.org,37.343614,-121.890705,95112
Ecumenical Hunger Program,"2411 Pulgas Ave, East Palo Alto, CA 94303",(650) 323-7781,info@ehpcares.org,37.464442,-122.132459,94303
CityTeam,"580 Charles St, San Jose, CA 95112",(408) 287-5211,info@cityteam.org,37.345586,-121.884964,95112
LifeMoves,"181 Constitution Dr, Menlo Park, CA 94025",(650) 685-5880,info@lifemoves.org,37.478426,-122.164548,94025
InnVision Shelter Network,"181 Constitution Dr, Menlo Park, CA 94025",(650) 685-5880,info@innvision.org,37.478426,-122.164548,94025
Community Services Agency of Mountain View and Los Altos,"204 Stierlin Rd, Mountain View, CA 94043",(650) 968-0836,info@csacares.org,37.408964,-122.108274,94043
Community Services Agency of Cupertino,"20450 Saratoga-Los Gatos Rd, Saratoga, CA 95070",(408) 255-8033,info@csacares.org,37.269022,-122.032937,95070
